,Unnamed: 0,Res.,Ref.,Update,Notes,Status,Dropoff,Day,Dropoff Date,Time,Pickup,Pickup Date,Time_c13,# Days,Category,Vehicle,Colour,Items,Insurance,Departure,Next Rental,RCM_Rego,Pickup Date Time,Dropoff Date Time,CarID,adminfeeamt
38,45,37859,DC-8277226,1,1,Returned,SYD,1,2/08/2024,7:35:00,SYD,20/07/2024,10:10:00,1,Family SUV 7 Seater,5849991,White,1,1,1,1,DH46QN,20/07/2024 10:10:00 AM,2/08/2024 7:35:00 AM,480,2.95
39,46,41313,1006162335,1,1,Returned,SYD,1,2/08/2024,7:35:00,SYD,30/07/2024,10:40:00,1,Medium Sedan,232207814624,White,1,1,1,1,S697CYO,30/07/2024 10:40:00 AM,2/08/2024 7:35:00 AM,706,2.95
40,47,40027,3747598901,1,1,Returned,SYD,1,2/08/2024,9:25:00,SYD,23/07/2024,8:50:00,1,Medium Sedan,5849938,White,1,1,1,1,DH71QP,23/07/2024 8:50:00 AM,2/08/2024 9:25:00 AM,534,2.95
41,49,40428,1,1,1,Returned,SYD,1,2/08/2024,9:45:00,SYD,30/07/2024,2:45:00,1,Small SUV,5849920,White,1,1,1,1,S673CVF,30/07/2024 2:45:00 PM,2/08/2024 9:45:00 AM,356,2.95
42,50,38165,1,1,1,Returned,SYD,1,2/08/2024,10:00:00,SYD,31/07/2024,9:25:00,1,Family SUV 5 Seater,5849948,White,1,1,1,1,DJ65YC,31/07/2024 9:25:00 AM,2/08/2024 10:00:00 AM,626,2.95
43,51,41664,1,1,1,Returned,SYD,1,2/08/2024,10:10:00,SYD,31/07/2024,10:25:00,1,Medium Sedan,232207911420,White,1,1,1,1,S650CZY,31/07/2024 10:25:00 AM,2/08/2024 10:10:00 AM,838,2.95
44,52,33824,IM43700864,1,1,Returned,SYD,1,28/07/2024,6:40:00,SYD,26/07/2024,8:50:00,1,Mini,5848163,White,1,1,1,1,EZP01P,26/07/2024 8:50:00 AM,28/07/2024 6:40:00 PM,374,2.95
45,53,40978,1,1,1,Returned,SYD,1,2/08/2024,12:00:00,SYD,1/08/2024,3:10:00,1,People Mover 8 Seater,5849940,White,1,1,1,1,S862CVY,1/08/2024 3:10:00 PM,2/08/2024 12:00:00 PM,425,2.95
46,54,39498,1,1,1,Returned,SYD,1,2/08/2024,12:30:00,SYD,29/07/2024,9:55:00,1,Compact SUV,232207816025,White,1,1,1,1,S246DAF,29/07/2024 9:55:00 AM,2/08/2024 12:30:00 PM,896,2.95
47,55,39615,1,1,1,Returned,SYD,1,2/08/2024,12:40:00,SYD,31/07/2024,2:00:00,1,Medium SUV,5848159,White,1,1,1,1,EYX33E,31/07/2024 2:00:00 PM,2/08/2024 12:40:00 PM,388,2.95
48,56,40423,1621223996,1,1,Returned,SYD,1,2/08/2024,12:45:00,SYD,28/07/2024,11:55:00,1,Medium Sedan,5849988,White,1,1,1,1,FEQ30R,28/07/2024 11:55:00 AM,2/08/2024 12:45:00 PM,696,2.95
49,58,33238,1,1,1,Returned,SYD,1,2/08/2024,12:50:00,SYD,26/07/2024,5:20:00,1,Family SUV 7 Seater,5849972,White,1,1,1,1,S975CTK,26/07/2024 5:20:00 PM,2/08/2024 12:50:00 PM,241,2.95
50,59,40949,1006148751,1,1,Returned,SYD,1,2/08/2024,1:05:00,SYD,30/07/2024,6:00:00,1,People Mover 8 Seater,5848179,White,1,1,1,1,S828CTV,30/07/2024 6:00:00 PM,2/08/2024 1:05:00 PM,248,2.95
51,60,41858,1,1,1,Returned,SYD,1,2/08/2024,12:55:00,SYD,1/08/2024,5:50:00,1,Family SUV 7 Seater,5848148,White,1,1,1,1,S980CTK,1/08/2024 5:50:00 PM,2/08/2024 12:55:00 PM,252,2.95
