,0
188,4055.0
189,4074.0
190,4096.0
191,4105.0
192,4116.0
193,4126.0
194,4127.0
195,4143.0
196,4167.0
197,4200.0
198,4220.0
199,4271.0
200,4272.0
201,4278.0
202,4283.0
203,4284.0
204,4291.0
205,4298.0
206,4313.0
207,4318.0
208,4322.0
209,4328.0
210,4330.0
211,4356.0
212,4357.0
213,4372.0
214,4374.0
215,4375.0
216,4376.0
217,4383.0
218,4394.0
219,4395.0
220,4396.0
221,4400.0
222,4403.0
223,4408.0
224,4411.0
225,4414.0
226,4420.0
227,4423.0
228,4424.0
229,4426.0
230,4428.0
231,4429.0
232,4434.0
233,4437.0
234,4440.0
235,4441.0
236,4446.0
237,4447.0
238,4457.0
239,4461.0
240,4462.0
241,4463.0
242,4476.0
243,4488.0
244,4490.0
245,4491.0
246,4503.0
247,4521.0
248,4523.0
249,4524.0
250,4525.0
251,4526.0
252,4529.0
253,4530.0
254,4532.0
255,4534.0
256,4538.0
257,4539.0
258,4550.0
259,4553.0
260,4561.0
261,4563.0
262,4566.0
263,4569.0
264,4572.0
265,4573.0
266,4575.0
267,4579.0
268,4581.0
269,4585.0
270,4586.0
271,4589.0
272,4599.0
273,4600.0
274,4601.0
275,4604.0
276,4608.0
277,4609.0
278,4614.0
279,4619.0
280,4623.0
281,4624.0
282,4630.0
283,4632.0
284,4636.0
285,4637.0
286,4640.0
287,4641.0
288,4661.0
289,4664.0
290,4700.0
291,4703.0
292,4705.0
293,4725.0
294,4726.0
295,4727.0
296,4731.0
297,4732.0
298,4735.0
299,4739.0
300,4748.0
301,4754.0
302,4761.0
303,4762.0
304,4764.0
305,4770.0
306,4776.0
307,4777.0
308,4779.0
309,4780.0
310,4789.0
311,4793.0
312,4795.0
313,4800.0
314,4809.0
315,4810.0
316,4812.0
317,4820.0
318,4821.0
319,4822.0
320,4823.0
321,4824.0
322,4825.0
323,4827.0
324,4829.0
325,4830.0
326,4831.0
327,4841.0
328,4843.0
329,4860.0
330,4874.0
331,4883.0
332,4894.0
333,4906.0
334,4908.0
335,4917.0
336,4918.0
337,4920.0
338,4921.0
339,4922.0
340,4923.0
341,4924.0
342,4935.0
343,4950.0
344,4959.0
345,4971.0
346,4972.0
347,4973.0
348,4975.0
349,4977.0
350,4979.0
351,4980.0
352,4982.0
353,4983.0
354,4984.0
355,4985.0
356,4986.0
357,4988.0
358,5023.0
359,5032.0
360,5035.0
361,5038.0
362,5039.0
363,5044.0
364,5045.0
365,5046.0
366,5054.0
367,5062.0
368,5064.0
369,5066.0
370,5068.0
371,5070.0
372,5075.0
373,5076.0
374,5079.0
375,5085.0
376,5086.0
377,5087.0
378,5091.0
379,5095.0
380,5098.0
381,5103.0
382,5105.0
383,5106.0
384,5108.0
385,5115.0
386,5116.0
387,5122.0
388,5125.0
389,5127.0
390,5130.0
391,5134.0
392,5135.0
393,5136.0
394,5137.0
395,5139.0
396,5140.0
397,5143.0
398,5149.0
399,5158.0
400,5161.0
401,5164.0
402,5165.0
403,5166.0
404,5169.0
